Division,Name,Contact,Type,Source
TDCJ Directory,"Parole Division Client Helpline","833-482-0039","Phone","annual_directory.pdf"
TDCJ Directory,"Parole Division","512-406-5401","Phone","annual_directory.pdf"
TDCJ Directory,"Free Hotline","800-848-4284","Phone","annual_directory.pdf"
TDCJ Directory,"Email","mike.jones@tdcj.texas.gov","Email","annual_directory.pdf"
"Executive Director","Main","(936)437-2107","Phone","https://www.tdcj.texas.gov/divisions/es/index.html"
"Executive Director","Main","(936) 437-2107","Phone","https://www.tdcj.texas.gov/divisions/es/index.html"
"Executive Director","Main","(936)437-5732","Phone","https://www.tdcj.texas.gov/divisions/es/index.html"
"Executive Director","Main","(936) 437-5732","Phone","https://www.tdcj.texas.gov/divisions/es/index.html"
"Executive Director","Main","(936)437-6726","Phone","https://www.tdcj.texas.gov/divisions/es/index.html"
"Executive Director","Main","(936) 437-6726","Phone","https://www.tdcj.texas.gov/divisions/es/index.html"
"Executive Director","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/es/index.html"
"Executive Director","Email","exec.director@tdcj.texas.gov","Email","https://www.tdcj.texas.gov/divisions/es/index.html"
"Human Resources","Main","(936)437-4141","Phone","https://www.tdcj.texas.gov/divisions/hr/hr-home/index.html"
"Human Resources","Main","(936) 437-4141","Phone","https://www.tdcj.texas.gov/divisions/hr/hr-home/index.html"
"Human Resources","Main","(936)437-3250","Phone","https://www.tdcj.texas.gov/divisions/hr/hr-home/index.html"
"Human Resources","Main","(936) 437-3250","Phone","https://www.tdcj.texas.gov/divisions/hr/hr-home/index.html"
"Human Resources","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/hr/hr-home/index.html"
"Correctional Institutions Division","Main","(936)437-2173","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 437-2173","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936)437-6325","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 437-6325","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936)437-2116","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 437-2116","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936)437-6207","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 437-6207","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936)437-8702","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 437-8702","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936)437-8725","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
