Name,Phone,Type
"Parole Division Client Helpline","833-482-0039","Phone"
"Administrative
Offices
Austin","512-463-9988","Phone"
"Board of Pardons and Paroles
Status","844-512-0461","Phone"
"Administrative
Offices
Huntsville","936-295-6371","Phone"
"Travel Office
Huntsville","936-437-6239","Phone"
"Office of the Independent
Ombudsman
Huntsville","936-437-5620","Phone"
"Locator Line
Huntsville","936-295-6371","Phone"
"Parole Division","512-406-5401","Phone"
"Correctional
Institutions Division","936-437-2173","Phone"
"Inmate Status Lines
Parole Status","512-406-5202","Phone"
"Free Hotline","800-848-4284","Phone"
"Email","mike.jones@tdcj.texas.gov","Email"
