id,name,category,url
wv2p-kpcm,"CCI 4.5 Abuse/Neglect Investigations - Alleged and Confirmed Victims By County FY2016-FY2025",LAW_VERIFICATION,https://data.texas.gov/dataset/wv2p-kpcm
6sgn-vce6,"School Nutrition Programs - Procurement Review with Findings- Program Year 2024 - 2025",NEWS,https://data.texas.gov/dataset/6sgn-vce6
tbs7-dnx4,"School Nutrition Programs - Detailed Administrative Review with Findings- Program Year 2024 - 2025",NEWS,https://data.texas.gov/dataset/tbs7-dnx4
h3fk-yxsr,"School Nutrition Programs - Administrative Review Summary - Program Year 2024 - 2025",NEWS,https://data.texas.gov/dataset/h3fk-yxsr
t9ai-tqhm,"UIC well location",LAW_VERIFICATION,https://data.texas.gov/dataset/t9ai-tqhm
q4fw-9sy9,"Texas Department of Criminal Justice Releases FY 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/q4fw-9sy9
8ha4-kikr,"Texas Department of Criminal Justice Receives FY 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/8ha4-kikr
87eh-wyyj,"High Value Dataset: December 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/87eh-wyyj
nzvj-29aj,"High Value Dataset: November 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/nzvj-29aj
bf5n-799f,"Applications for Initial License Issuance for Salespersons and Brokers",ATTORNEY_RESOURCE,https://data.texas.gov/dataset/bf5n-799f
3p42-m5cn,"Easement or Right-Of-Ways Agents License Holder Information",ATTORNEY_RESOURCE,https://data.texas.gov/dataset/3p42-m5cn
pkr9-9isv,"Inspector License Holder Information",ATTORNEY_RESOURCE,https://data.texas.gov/dataset/pkr9-9isv
s7ft-44qi,"Broker and Sales Agent License Holder Information",ATTORNEY_RESOURCE,https://data.texas.gov/dataset/s7ft-44qi
36xq-2n6m,"2025-2026 Monthly CACFP Day Care Home Meals & Snacks Served",LAW_VERIFICATION,https://data.texas.gov/dataset/36xq-2n6m
9yt4-5xci,"2025-2026 Monthly CACFP Child Center Meals & Snacks Served",LAW_VERIFICATION,https://data.texas.gov/dataset/9yt4-5xci
q9ze-49nx,"2025-2026 Monthly CACFP Adult Care Meals & Snacks Served",LAW_VERIFICATION,https://data.texas.gov/dataset/q9ze-49nx
65hs-8285,"2025-2026 CACFP Child Center Meals and Snacks",LAW_VERIFICATION,https://data.texas.gov/dataset/65hs-8285
gxkx-igrr,"High Value Dataset: October 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/gxkx-igrr
x9ve-x3iy,"Child and Adult Care Food Programs (CACFP) –Day Care Home – Meal Reimbursement – Program Year 2025 -",LAW_VERIFICATION,https://data.texas.gov/dataset/x9ve-x3iy
y9zm-iygj,"Child and Adult Care Food Programs (CACFP) –Child Centers – Meal Reimbursement – Program Year 2025 -",LAW_VERIFICATION,https://data.texas.gov/dataset/y9zm-iygj
e97f-7pag,"Child and Adult Care Food Programs (CACFP) – Adult Day Care – Meal Reimbursement – Program Year 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/e97f-7pag
cans-tww2,"High Value Dataset: September 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/cans-tww2
inks-xbpw,"CACFP Day Care Homes - Site Map - 2025-2026",LAW_VERIFICATION,https://data.texas.gov/dataset/inks-xbpw
bxu8-6qc6,"CACFP Centers - Site Map - 2025-2026",LAW_VERIFICATION,https://data.texas.gov/dataset/bxu8-6qc6
h3we-9kth,"2025-2026 CACFP Center Sites Approved",LAW_VERIFICATION,https://data.texas.gov/dataset/h3we-9kth
vxfn-vdhv,"2025-2026 CACFP Center CEs Approved",LAW_VERIFICATION,https://data.texas.gov/dataset/vxfn-vdhv
ub2y-4i6h,"Child and Adult Care Food Programs (CACFP) – Day Care Homes – Site-Level Contact and Program Partici",LAW_VERIFICATION,https://data.texas.gov/dataset/ub2y-4i6h
py3b-tqc9,"Child and Adult Care Food Programs (CACFP) – Centers – Site-Level Contact and Program Participation ",LAW_VERIFICATION,https://data.texas.gov/dataset/py3b-tqc9
9b32-yeu6,"High Value Dataset: August 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/9b32-yeu6
32b9-xz9p,"School Nutrition Program - Site Map - 2025-2026",LAW_VERIFICATION,https://data.texas.gov/dataset/32b9-xz9p
gjph-ieuz,"Important Update About Texas Lottery Open Data",LAW_VERIFICATION,https://data.texas.gov/dataset/gjph-ieuz
tayf-xfe5,"2025-2026 Monthly SNP School Meals & Snacks Served",LAW_VERIFICATION,https://data.texas.gov/dataset/tayf-xfe5
hqb9-8dh4,"School Nutrition Programs - Meal Reimbursement Information - Program Year 2025-2026",LAW_VERIFICATION,https://data.texas.gov/dataset/hqb9-8dh4
3qgy-p3sr,"School Nutrition Programs - Contact Information and Site-Level Program Participation - Program Year ",LAW_VERIFICATION,https://data.texas.gov/dataset/3qgy-p3sr
iii9-bpgw,"High Value Dataset: July 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/iii9-bpgw
mcpi-5m58,"School Nutrition Programs – Food Service Management Company (FSMC) Information – Program Year 2025-2",LAW_VERIFICATION,https://data.texas.gov/dataset/mcpi-5m58
cuhf-bpya,"Summer Meal Programs - Summer Food Service Program (SFSP) - Meal Reimbursement - Program Period 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/cuhf-bpya
u4fj-has6,"Summer Meal Programs - Seamless Summer Option (SSO) – Meal Reimbursement - Program Year 2025",LAW_VERIFICATION,https://data.texas.gov/dataset/u4fj-has6
6e9f-unai,"Summer Meal Programs - Site Map - Summer 2025",NEWS,https://data.texas.gov/dataset/6e9f-unai
juwq-a6hr,"2025 Monthly SFSP & SSO Summer Meals and Snacks",NEWS,https://data.texas.gov/dataset/juwq-a6hr
7z9t-futv,"Summer Meal Programs - All Summer Sites - Meal Count - Program Period 2025",NEWS,https://data.texas.gov/dataset/7z9t-futv
